# timestamp is yyyymmddHHDD (year, month, day, hour, minute)
# precipitation is rainfall depth (mm) 
stn;time;rre150h0
AIG;2018071312;0.0
AIG;2018071313;0.0
AIG;2018071314;0.0
AIG;2018071315;0.0
AIG;2018071316;0.0
AIG;2018071317;0.0
AIG;2018071318;0.0
AIG;2018071319;0.0
AIG;2018071320;0.0
AIG;2018071321;0.0
AIG;2018071322;0.0
AIG;2018071323;0.0
AIG;2018071400;0.0
AIG;2018071401;0.0
AIG;2018071402;0.0
AIG;2018071403;0.0
AIG;2018071404;0.0
AIG;2018071405;0.0
AIG;2018071406;0.0
AIG;2018071407;0.0
AIG;2018071408;0.0
AIG;2018071409;0.0
AIG;2018071410;0.0
AIG;2018071411;0.0
AIG;2018071412;0.0
AIG;2018071413;0.0
AIG;2018071414;0.5
AIG;2018071415;0.1
AIG;2018071416;0.0
AIG;2018071417;0.0
AIG;2018071418;0.1
AIG;2018071419;0.0
AIG;2018071420;0.0
AIG;2018071421;0.0
AIG;2018071422;0.0
AIG;2018071423;0.0
AIG;2018071500;0.0
AIG;2018071501;0.0
AIG;2018071502;0.0
AIG;2018071503;0.0
AIG;2018071504;0.0
AIG;2018071505;0.0
AIG;2018071506;0.0
AIG;2018071507;0.0
AIG;2018071508;0.0
AIG;2018071509;0.0
AIG;2018071510;0.0
AIG;2018071511;0.0
AIG;2018071512;0.0
AIG;2018071513;0.0
AIG;2018071514;0.0
AIG;2018071515;0.0
AIG;2018071516;0.0
AIG;2018071517;0.0
AIG;2018071518;0.0
AIG;2018071519;1.0
AIG;2018071520;0.6
AIG;2018071521;0.0
AIG;2018071522;0.0
AIG;2018071523;0.0
AIG;2018071600;0.0
AIG;2018071601;0.0
AIG;2018071602;0.0
AIG;2018071603;0.0
AIG;2018071604;0.0
AIG;2018071605;0.0
AIG;2018071606;0.0
AIG;2018071607;0.0
AIG;2018071608;0.0
AIG;2018071609;0.0
AIG;2018071610;0.0
AIG;2018071611;0.0
AIG;2018071612;0.0
AIG;2018071613;0.0
AIG;2018071614;0.0
AIG;2018071615;0.0
AIG;2018071616;0.0
AIG;2018071617;0.0
AIG;2018071618;0.0
AIG;2018071619;0.0
AIG;2018071620;0.0
AIG;2018071621;0.0
AIG;2018071622;0.0
AIG;2018071623;0.0
AIG;2018071700;0.0
AIG;2018071701;0.0
AIG;2018071702;0.0
AIG;2018071703;0.0
AIG;2018071704;0.0
AIG;2018071705;0.1
AIG;2018071706;0.0
AIG;2018071707;0.0
AIG;2018071708;0.0
AIG;2018071709;0.0
AIG;2018071710;0.0
AIG;2018071711;0.0
AIG;2018071712;0.0
AIG;2018071713;0.0
AIG;2018071714;0.0
AIG;2018071715;0.0
AIG;2018071716;0.0
AIG;2018071717;0.0
AIG;2018071718;0.0
AIG;2018071719;0.0
AIG;2018071720;0.0
AIG;2018071721;0.0
AIG;2018071722;0.0
AIG;2018071723;0.0
AIG;2018071800;0.0
AIG;2018071801;0.0
AIG;2018071802;0.0
AIG;2018071803;0.0
AIG;2018071804;0.0
AIG;2018071805;0.0
AIG;2018071806;0.0
AIG;2018071807;0.0
AIG;2018071808;0.0
AIG;2018071809;0.0
AIG;2018071810;0.0
AIG;2018071811;0.0
AIG;2018071812;0.0
AIG;2018071813;0.0
AIG;2018071814;0.0
AIG;2018071815;0.0
AIG;2018071816;0.0
AIG;2018071817;0.0
AIG;2018071818;0.0
AIG;2018071819;0.0
AIG;2018071820;0.0
AIG;2018071821;0.0
AIG;2018071822;0.0
